Transmission,Threshold,Feature,PPS
RDT,33,slope13,0.6330997
RDT,50,slope13,0.3887168
RDT,67,slope13,0.31785722
RDT,33,RBS,0.7182049
RDT,50,RBS,0.64629688
RDT,67,RBS,0.43915818
RDT,33,PBS,0.6431711
RDT,50,PBS,0.09348445
RDT,67,PBS,0
DCT,33,slope13,0.169664227
DCT,50,slope13,0.37537816
DCT,67,slope13,0.47929987
DCT,33,RBS,0.05571391
DCT,50,RBS,0.407766
DCT,67,RBS,0.6385797
DCT,33,PBS,0
DCT,50,PBS,0.2831926
DCT,67,PBS,0.5037814
RDT,33,slope13_vcat,0.460738
RDT,50,slope13_vcat,0
RDT,67,slope13_vcat,0
RDT,33,Origin,0.6696111
RDT,50,Origin,0.50374699
RDT,67,Origin,0
RDT,33,peak_inoc,0.45684713
RDT,50,peak_inoc,0.277313191
RDT,67,peak_inoc,0.096752475
DCT,33,slope13_vcat,0
DCT,50,slope13_vcat,0.18560832
DCT,67,slope13_vcat,0.27886525
DCT,33,Origin,0
DCT,50,Origin,0.2793228
DCT,67,Origin,0.5275336
DCT,33,peak_inoc,0.18231607
DCT,50,peak_inoc,0.1963647
DCT,67,peak_inoc,0.45186829
RDT,33,MCC,1
RDT,50,MCC,0.9245749
RDT,67,MCC,0.9128709
RDT,33,MCC_cat,0.8396545
RDT,50,MCC_cat,0.8225143
RDT,67,MCC_cat,0.6163026
DCT,33,MCC,0.6242068
DCT,50,MCC,0.8543267
DCT,67,MCC,0.9128709
DCT,33,MCC_cat,0.7162075
DCT,50,MCC_cat,0.8989937
DCT,67,MCC_cat,0.9535112
RDT,33,AUC_8_v,0.51035226
RDT,50,AUC_8_v,0.49108087
RDT,67,AUC_8_v,0.506919923
DCT,33,AUC_8_v,0.19630647
DCT,50,AUC_8_v,0.36795909
DCT,67,AUC_8_v,0.48739811
